TIME	VP	VN
37700	0.550133293	0
37800	0.574952526	0
37900	0.599475955	0
38000	0.623606798	0
38100	0.647249821	0
38200	0.670311717	0
38300	0.69270147	0
38400	0.714330718	0
38500	0.735114101	0
38600	0.754969596	0
38700	0.773818842	0
38800	0.791587451	0
38900	0.808205297	0
